"Czy aktualnie stosujesz suplementy diety?";"Jak często stosujesz suplementy?";"Od jak dawna stosujesz suplementy?";"Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi)";"Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?";"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?";"Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?";"Czy konsultujesz suplementację ze specjalistą?";"Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi)"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Witamina B";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Konsultuje";"Poprawa zdrowia,Zwiększenie energii,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie konsultuje";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii"
"Tak";"Sporadycznie";"3–12 miesięcy";"Multiwitaminy,Kwasy omega-3";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Stosuję tylko jeden preparat.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie konsultuje";"Poprawa wyglądu (skóra włosy paznokcie),Poprawa samopoczucia"
"Nie";"Sporadycznie";">3 lat";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Magnez,B kompleks";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Choroba"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Zwiększenie energii,Poprawa samopoczucia"
"Tak";"Sporadycznie";"1–3 lata";"Multiwitaminy";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa samopoczucia"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Jod,Wapń,Karnozyna cynkowa";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa samopoczucia,Poprawa zdrowia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie konsultuje";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Kilka razy w miesiącu";">3 lat";"Probiotyki,Kolagen";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez,Witamina C,Probiotyki";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie konsultuje";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie konsultuje";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Probiotyki,Kreatyna,Białko,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Kwasy omega-3,Białko,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Kreatyna,Białko";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina C,Białko,Adaptogeny (np. ashwagandha)";"Często – uważam, że standardowe dawki są zbyt niskie.";"Nie, nie sprawdzam tego.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra włosy paznokcie),Poprawa koncentracji"
"Nie";"Sporadycznie";">3 lat";"Witamina D";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Stosuję tylko jeden preparat.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zwiększenie energii"
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Witamina D,Magnez";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie konsultuje";"Poprawa zdrowia,Wzmocnienie odporności"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki,Kreatyna,Białko";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie konsultuje";"Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Konsultuje";"Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Kwasy omega-3,Białko,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki,Jod,Cynk,B kompleks,Likopen,Bromelia,Olej z czarnuszki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki,Kreatyna,Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Adaptogeny (np. ashwagandha)";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie konsultuje";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Sporadycznie";"< 3 miesięcy";"Witamina D,Kwasy omega-3";"Często – uważam, że standardowe dawki są zbyt niskie.";"Nie, nie sprawdzam tego.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie konsultuje";"Zapobieganie niedoborom"
"Tak";"Codziennie";">3 lat";"Witamina D,Witamina C,Kwasy omega-3,Probiotyki";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności"
"Tak";"Codziennie";">3 lat";"Witamina D,Żelazo,Merz Spezial";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom"
"Tak";"Sporadycznie";">3 lat";"Witamina D,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie konsultuje";"Zapobieganie niedoborom,Wzmocnienie odporności"
"Nie";"Sporadycznie";">3 lat";"Witamina D,Magnez";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie konsultuje";"Zapobieganie niedoborom"
"Tak";"Sporadycznie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie konsultuje";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D,Witamina C,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie konsultuje";"Wzmocnienie odporności,Poprawa koncentracji"
"Tak";"Codziennie";">3 lat";"Witamina D,Żelazo,Merz Spezial";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra włosy paznokcie)"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Witamina C,Kwasy omega-3,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki";"Często – uważam, że standardowe dawki są zbyt niskie.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Maślan sodu,B kompleks";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Konsultuje";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii"
