Timestamp,Płeć ,Wiek,Kierunek studiów,Rok studiów,Jak często uprawiasz aktywność fizyczną?,Czy aktualnie stosujesz suplementy diety?  ,Jak często stosujesz suplementy?,Od jak dawna stosujesz suplementy?,Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi),Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?  ,"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?  ","Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?  ",Czy konsultujesz suplementację ze specjalistą?  ,Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi),Skąd czerpiesz informacje o suplementach?,"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)",Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5,Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?,Suplement diety to:,Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?,Nadmierne spożycie witaminy D może prowadzić do:,Kto odpowiada za bezpieczeństwo suplementów diety?,Czy suplementy mogą wchodzić w interakcje z lekami?,Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?,W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?  ,Które źródło uznał(a)byś za najbardziej wiarygodne?,Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?
2026/03/16 6:56:55 pm EET,Mężczyzna,23–25,Dietetyka sportowa,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Tak,Codziennie,1–3 lata,Witamina D;Kreatyna;Białko;Żelazo,Nigdy – stosuję się ściśle do zaleceń.,"Nie, nie sprawdzam tego.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z lekarzem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Media społecznościowe;Lekarz;Dietetyk",4,4,3,Środek spożywczy uzupełniający dietę,Tak,Niedokrwistości,Nie wiem,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Artykuły popularnonaukowe,Lekarz,Nie wiem
2026/04/12 5:11:02 pm EET,Kobieta,< 20,Filologia,II,1–2 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Witamina C;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Tak, z dietetykiem","Poprawa zdrowia;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji","Internet (artykuły, blogi);Media społecznościowe;Dietetyk;Znajomi/rodzina",3,3,3,Środek spożywczy uzupełniający dietę,Tylko niektóre,Uszkodzenia nerek,Sanepid bada każdy produkt przed sprzedażą,Tak,Tak,Warsztaty na uczelni;Konsultacje z farmaceutą;Posty na Instagramie/TikToku,Dietetyk,"Dostęp do rzetelnych informacji opartych na badaniach, a nie na reklamach, które obiecują ""cudowne"" efekty."
2026/04/01 11:01:49 PM EET,Mężczyzna,23–25,Filologia angielska,I,Nigdy,Tak,Sporadycznie,3–12 miesięcy,Witamina D,Nie czytam zaleceń dotyczących dawkowania na opakowaniu.,Stosuję tylko jeden preparat.,"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Wzmocnienie odporności,"Internet (artykuły, blogi)",1,1,1,Środek spożywczy uzupełniający dietę,Nie wiem,Nie wiem,Nie wiem,Nie wiem,Tak,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku,Instytucje zdrowia publicznego,Ciągle choruję na uczelni. Jakie witaminy działają?
2026/04/02 1:46:51 am EET,Kobieta,23–25,Filologia angielska,III,Rzadziej niż raz w tygodniu,Tak,Codziennie,1–3 lata,Magnez;Kwasy omega-3;Probiotyki;Adaptogeny (np. ashwagandha),"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Stosuję tylko jeden preparat.,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Poprawa samopoczucia","Internet (artykuły, blogi);Lekarz",3,2,3,Środek spożywczy uzupełniający dietę,Tylko niektóre,Uszkodzenia nerek,Producent,Tak,Nie wiem,Krótkie filmy edukacyjne;Infografiki;Warsztaty na uczelni;Konsultacje z farmaceutą;Posty na Instagramie/TikToku,Instytucje zdrowia publicznego,Skutki uboczne
2026/04/01 10:42:29 pm EET,Kobieta,20–22,Finanse i rachunkowość ,II,Rzadziej niż raz w tygodniu,Tak,Codziennie,< 3 miesięcy,Multiwitaminy,Nigdy – stosuję się ściśle do zaleceń.,Stosuję tylko jeden preparat.,"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Tak, z farmaceutą","Poprawa wyglądu (skóra, włosy, paznokcie)",Farmaceuta,2,2,1,Środek spożywczy uzupełniający dietę,Nie wiem,Nie wiem,Sanepid bada każdy produkt przed sprzedażą,Tylko witaminy,Nie wiem,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku,Lekarz,.
2026/04/02 10:15:42 am EET,Kobieta,>25,Finanse i rachunkowość ,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,< 3 miesięcy,Witamina D;Kwasy omega-3;Witamina E,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Poprawa wyglądu (skóra, włosy, paznokcie);Poprawa koncentracji;Poprawa samopoczucia",Media społecznościowe,4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Podcasty;Posty na Instagramie/TikToku,Naukowe portale internetowe,"Skuteczność ich działania, dostęp do wiarygodnych informacji "
2026/03/22 06:07:06 PM EET,Kobieta,23–25,Finanse i rachunkowość ,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,< 3 miesięcy,Witamina D;Magnez;Witamina C,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem",Poprawa zdrowia;Zapobieganie niedoborom;Zwiększenie energii;Poprawa koncentracji,"Internet (artykuły, blogi);Lekarz",1,2,3,Środek spożywczy uzupełniający dietę,Tak,Nie wiem,Nie wiem,Tak,Tylko minerały,Krótkie filmy edukacyjne;Warsztaty na uczelni;Konsultacje z farmaceutą,Lekarz,Warsztaty 
2026/04/01 12:29:35 PM EET,Kobieta,20–22,Fizjoterapia,III,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko;Adaptogeny (np. ashwagandha),"Często – uważam, że standardowe dawki są zbyt niskie.","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Lekarz;Dietetyk;Farmaceuta",4,3,3,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Podcasty;Warsztaty na uczelni;Konsultacje z farmaceutą;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Dietetyk,"Ciekawe filmiki, artykuły, itd."
2026/04/03 12:23:40 PM EET,Kobieta,>25,Fizjoterapia,II,5 lub więcej razy w tygodniu,Tak,Codziennie,1–3 lata,Witamina D;Magnez;Multiwitaminy;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Tak, z dietetykiem","Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Reklamy;Dietetyk;Farmaceuta",3,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Sanepid bada każdy produkt przed sprzedażą,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Konsultacje z farmaceutą;Dietetyk,Instytucje zdrowia publicznego, jeśli zajdę w ciążę
2026/05/12 09:04:37 PM EET,Kobieta,< 20,Fizjoterapia,III,Rzadziej niż raz w tygodniu,Tak,Codziennie,< 3 miesięcy,Witamina D;Witamina C;Multiwitaminy,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Nie, nie sprawdzam tego.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję","Poprawa zdrowia;Poprawa wyglądu (skóra, włosy, paznokcie)","Internet (artykuły, blogi);Media społecznościowe;Znajomi/rodzina",1,1,1,Preparat o udowodnionym działaniu terapeutycznym,Tak,Nie wiem,Ministerstwo Zdrowia,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Podcasty;Warsztaty na uczelni,Lekarz,Więcej warsztatów na uczelni
2026/03/16 6:21:17 pm EET,Mężczyzna,>25,Informatyka,V,1–2 razy w tygodniu,Tak,Codziennie,< 3 miesięcy,Białko,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa samopoczucia,"Internet (artykuły, blogi);Lekarz;Dietetyk;Farmaceuta",2,2,1,Środek spożywczy uzupełniający dietę,Tak,Niedokrwistości,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Warsztaty na uczelni;Artykuły popularnonaukowe,Instytucje zdrowia publicznego,Łatwe do zrozumienia źródła wiedzy na ten temat
2026/04/09 08:12:55 AM EET,Mężczyzna,20–22,Informatyka,III,3–4 razy w tygodniu,Tak,Kilka razy w tygodniu,3–12 miesięcy,Magnez;Multiwitaminy;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Wzmocnienie odporności;Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia,"Internet (artykuły, blogi);Znajomi/rodzina",2,3,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Artykuły popularnonaukowe,Farmaceuta,zwiększyć moją świadomość dotyczącą zdrowia i codziennego stylu życia
2026/04/24 02:31:33 PM EET,Kobieta,20–22,Informatyka,V,1–2 razy w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Witamina C;Multiwitaminy;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z farmaceutą","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie)",Media społecznościowe;Farmaceuta;Znajomi/rodzina,3,2,1,Środek spożywczy uzupełniający dietę,Nie,Nie wiem,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Podcasty;Konsultacje z farmaceutą,Farmaceuta,Krótkie spotkania z farmaceutą odnośnie suplementacji i ulotki
2026/05/06 09:03:41 PM EET,Mężczyzna,20–22,Informatyka,II,3–4 razy w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Witamina D;Magnez;Witamina C;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,"Często – uważam, że standardowe dawki są zbyt niskie.","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z dietetykiem",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Zwiększenie energii;Poprawa samopoczucia,"Internet (artykuły, blogi);Dietetyk;Farmaceuta;Znajomi/rodzina",4,3,3,Preparat o udowodnionym działaniu terapeutycznym,Tak,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Konsultacje z farmaceutą;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Dietetyk,Fajnie by było gdyby dietetyk robił warsztaty na uczelni
2026/03/21 11:02:53 AM EET,Kobieta,>25,Kryminologia i kryminalistyka ,Studia magisterskie uzupełniające,Nigdy,Tak,Codziennie,3–12 miesięcy,Witamina D;Probiotyki,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Czasami zwracam na to uwagę,"Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie)","Internet (artykuły, blogi);Media społecznościowe;Lekarz;Dietetyk",3,4,3,Środek spożywczy uzupełniający dietę,Nie wiem,Brak skutków ubocznych,Producent,Nie wiem,Nie wiem,Infografiki;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Dietetyk,Potrzeba 
2026/04/21 10:00:31 AM EET,Kobieta,>25,Kryminologia i kryminalistyka ,III,1–2 razy w tygodniu,Nie,Codziennie,1–3 lata,Witamina D;Witamina C;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Wzmocnienie odporności,Media społecznościowe;Znajomi/rodzina,4,3,3,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Producent,Tak,Nie,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku,Lekarz,"Spotkania z osobami, które mają wiedzę na ten temat. "
2026/04/30 09:00:05 AM EET,Kobieta,>25,Lekarski,V,5 lub więcej razy w tygodniu,Tak,Kilka razy w tygodniu,< 3 miesięcy,Witamina D;Magnez;Witamina C;Glutation liposomalny,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z dietetykiem","Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa samopoczucia",Lekarz;Dietetyk,5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Podcasty;Warsztaty na uczelni;Artykuły naukowe,Dietetyk,Rzetelne informacje
2026/04/02 11:52:22 am EET,Kobieta,20–22,Logistyka,III,Rzadziej niż raz w tygodniu,Tak,Codziennie,< 3 miesięcy,Witamina D;Probiotyki;Magnesium citrate,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję","Poprawa zdrowia;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Farmaceuta;Znajomi/rodzina",3,3,3,Środek spożywczy uzupełniający dietę,Tak,Nie wiem,Nie wiem,Tak,Tylko minerały,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Lekarz,Moje zdrowie
2026/04/12 5:22:24 pm EET,Mężczyzna,20–22,Logistyka,III,Rzadziej niż raz w tygodniu,Tak,Sporadycznie,1–3 lata,Multiwitaminy;Kwasy omega-3;Probiotyki,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Nie, nie sprawdzam tego.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Poprawa zdrowia;Wzmocnienie odporności,"Internet (artykuły, blogi);Farmaceuta",2,2,2,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Sanepid bada każdy produkt przed sprzedażą,Tak,Tak,Infografiki;Warsztaty na uczelni,Dietetyk," Przekaz oparty na wiedzy dietetyków, lekarzy i farmaceutów"
2026/03/20 10:02:09 AM EET,Mężczyzna,>25,Logistyka,IV,1–2 razy w tygodniu,Tak,Kilka razy w tygodniu,>3 lat,Witamina D;Witamina C;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,Nie czytam zaleceń dotyczących dawkowania na opakowaniu.,"Nie, nie sprawdzam tego.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Tak, z farmaceutą",Poprawa zdrowia;Zwiększenie energii;Poprawa koncentracji,"Internet (artykuły, blogi);Media społecznościowe;Farmaceuta;Znajomi/rodzina",2,2,2,Środek spożywczy uzupełniający dietę,Tylko niektóre,Nie wiem,Ministerstwo Zdrowia,Tak,Nie wiem,Krótkie filmy edukacyjne;Infografiki;Konsultacje z farmaceutą;Posty na Instagramie/TikToku,Farmaceuta,"Krótkie filmiki na internecie, posty na mediach"
2026/04/09 07:41:24 PM EET,Kobieta,20–22,Mediacja sztuki ,II,Rzadziej niż raz w tygodniu,Nie,Sporadycznie,1–3 lata,Witamina D;Witamina C,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Nie, nie sprawdzam tego.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Nie, nie konsultuję",Zapobieganie niedoborom;Wzmocnienie odporności;Zwiększenie energii;Poprawa samopoczucia,Znajomi/rodzina,1,2,1,Środek spożywczy uzupełniający dietę,Tak,Nie wiem,Producent,Tak,Nie wiem,Krótkie filmy edukacyjne;Warsztaty na uczelni;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Farmaceuta,Krótkie przejrzyste treści 
2026/04/29 12:31:37 PM EET,Kobieta,>25,Medycyna,IV,Nigdy,Tak,Sporadycznie,3–12 miesięcy,Magnez;Witamina C;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję",Wzmocnienie odporności;Zwiększenie energii;Poprawa koncentracji,"Internet (artykuły, blogi);Media społecznościowe;Reklamy;Lekarz",2,3,4,Produkt leczniczy,Tak,Uszkodzenia nerek,Producent,Tak,Tak,Konsultacje z farmaceutą;Artykuły popularnonaukowe,Lekarz,"Więcej artykułów, oficjalnych informacji"
2026/04/22 06:48:42 PM EET,Mężczyzna,< 20,Prawo,I,Rzadziej niż raz w tygodniu,Tak,Sporadycznie,3–12 miesięcy,Witamina C;Multiwitaminy,Nigdy – stosuję się ściśle do zaleceń.,"Nie, nie sprawdzam tego.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Nie, nie konsultuję",Poprawa zdrowia,"Internet (artykuły, blogi);Media społecznościowe;Reklamy",2,2,1,Preparat o udowodnionym działaniu terapeutycznym,Tak,Brak skutków ubocznych,Ministerstwo Zdrowia,Nie wiem,Nie wiem,Krótkie filmy edukacyjne;Podcasty;Posty na Instagramie/TikToku,Naukowe portale internetowe,Powinno być więcej ciekawych stron na ten temat
2026/03/22 08:06:26 PM EET,Kobieta,>25,Psychologia,IV,Rzadziej niż raz w tygodniu,Tak,Codziennie,1–3 lata,Witamina D;Magnez;Probiotyki;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z lekarzem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia",Dietetyk;Interesuję się ziołami i jestem członkiem grupy stosującej nutraceutyki Arbonne,4,4,3,Środek spożywczy uzupełniający dietę,Nie,Brak skutków ubocznych,Producent,Tak,Tak,Warsztaty na uczelni;Konsultacje z farmaceutą,"Takie, którego polecenia nie wynikają z profitów jakie otrzymują ",Podejście do suplementów i wiedza o nich 
2026/04/04 10:56:16 am EET,Kobieta,>25,Psychologia,III,1–2 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Kwasy omega-3;Kwas foliowy,Nigdy – stosuję się ściśle do zaleceń.,"Nie, nie sprawdzam tego.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z lekarzem",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa samopoczucia,Media społecznościowe;Znajomi/rodzina,3,3,2,Środek spożywczy uzupełniający dietę,Tak,Nie wiem,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki,Dietetyk,"Motywuje mnie moja aktualna sytuacja - stan zdrowia, wyniki badań, samopoczucie i chęć poprawy w tych zakresach"
2026/04/21 07:23:20 PM EET,Kobieta,>25,Psychologia,I,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Witamina C;Kwasy omega-3;Kreatyna,"Często – uważam, że standardowe dawki są zbyt niskie.","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Tak, z lekarzem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Lekarz;Farmaceuta;Znajomi/rodzina",4,4,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne,Lekarz,Pewność że to co czytam jest rzetelne.
2026/03/16 6:49:21 pm EET,Kobieta,>25,Psychologia,IV,3–4 razy w tygodniu,Tak,Codziennie,< 3 miesięcy,Witamina D;Multiwitaminy,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji","Internet (artykuły, blogi)",2,2,3,Produkt leczniczy,Nie wiem,Nie wiem,Nie wiem,Tak,Nie wiem,Konsultacje z farmaceutą;Posty na Instagramie/TikToku,Instytucje zdrowia publicznego,Ciekawy przekaz 
2026/03/16 8:32:25 pm EET,Kobieta,23–25,Psychologia,IV,Rzadziej niż raz w tygodniu,Tak,Codziennie,3–12 miesięcy,Witamina D;Magnez;Witamina C;Multiwitaminy;Kwasy omega-3,Nigdy – stosuję się ściśle do zaleceń.,"Nie, nie sprawdzam tego.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję",Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa samopoczucia,Media społecznościowe;Znajomi/rodzina,4,3,2,Środek spożywczy uzupełniający dietę,Tak,Brak skutków ubocznych,Ministerstwo Zdrowia,Tak,Tak,Infografiki;Warsztaty na uczelni,Farmaceuta,"Warsztaty, wykłady o suplementach :)"
2026/03/16 9:24:35 pm EET,Mężczyzna,>25,Psychologia,V,1–2 razy w tygodniu,Tak,Codziennie,3–12 miesięcy,Witamina D;Magnez;Kwasy omega-3;Probiotyki;Kreatyna;Adaptogeny (np. ashwagandha),"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Media społecznościowe;Lekarz",3,3,3,Środek spożywczy uzupełniający dietę,Tylko niektóre,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Artykuły popularnonaukowe,Naukowe portale internetowe,Nic
2026/03/16 9:50:44 pm EET,Kobieta,>25,Psychologia,IV,5 lub więcej razy w tygodniu,Tak,Codziennie,3–12 miesięcy,"Witamina D;Witamina C;Kwasy omega-3;Probiotyki;Maślan sodu, kompleks witamin b, laktoferyna ",Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z lekarzem","Poprawa zdrowia;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Media społecznościowe;Lekarz",4,4,4,Produkt leczniczy,Tak,Nie wiem,Nie wiem,Tak,Tak,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku,Farmaceuta,Nie wiem 
2026/03/17 11:32:49 pm EET,Kobieta,>25,Psychologia,IV,Rzadziej niż raz w tygodniu,Tak,Codziennie,< 3 miesięcy,Witamina D,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","z lekarzem, ale sporo czytam na ten temat",obniżony poziom vit D,Lekarz,3,3,2,Środek spożywczy uzupełniający dietę,Nie wiem,Uszkodzenia nerek,Nie wiem,Tak,Tak,Infografiki;Podcasty;Warsztaty na uczelni;Artykuły popularnonaukowe,Lekarz,indywidualizacja planów ich zażywania a nie moda na niektóre
2026/03/19 05:56:28 PM EET,Kobieta,< 20,Psychologia,I,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,< 3 miesięcy,Multiwitaminy,Nigdy – stosuję się ściśle do zaleceń.,Stosuję tylko jeden preparat.,"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Wzmocnienie odporności,Znajomi/rodzina,2,1,2,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Warsztaty na uczelni;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Lekarz,"jasne, zwięzłe informacje"
2026/04/04 08:42:44 PM EET,Kobieta,>25,Psychologia,V,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Witamina D;Multiwitaminy;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Nie, nie sprawdzam tego.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Tak, z lekarzem",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa samopoczucia,Media społecznościowe;Reklamy;Lekarz;Znajomi/rodzina,2,2,2,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Producent,Tak,Tak,Infografiki;Warsztaty na uczelni;Konsultacje z farmaceutą;Artykuły popularnonaukowe,Lekarz,"Ulotki, artykuły"
