"Czy aktualnie stosujesz suplementy diety?";"Jak często stosujesz suplementy?";"Od jak dawna stosujesz suplementy?";"Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi)";"Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?";"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?";"Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?";"Czy konsultujesz suplementację ze specjalistą?";"Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi)";"Skąd czerpiesz informacje o suplementach?"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji";"Internet (artykuły, blogi)"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia";"Media społecznościowe,Znajomi/rodzina"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Kwasy omega-3,Probiotyki,Kreatyna,Adaptogeny (np. ashwagandha)";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Witamina C,Kwasy omega-3,Probiotyki,Maślan sodu, kompleks witamin b, laktoferyna ";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"z lekarzem, ale sporo czytam na ten temat";"obniżony poziom vit D";"Lekarz"
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności";"Znajomi/rodzina"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Multiwitaminy,Białko";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Nie, nie sprawdzam tego.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia";"Media społecznościowe,Reklamy,Lekarz,Znajomi/rodzina"
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Kreatyna,Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa koncentracji";"Dietetyk"
"Tak";"Sporadycznie";"1–3 lata";"Multiwitaminy";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Reklamy"
"Tak";"Codziennie";"3–12 miesięcy";"Probiotyki,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Media społecznościowe,Farmaceuta,Znajomi/rodzina"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Witamina B";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zwiększenie energii,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Farmaceuta,Znajomi/rodzina"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii";"Internet (artykuły, blogi),Media społecznościowe"
"Tak";"Sporadycznie";"3–12 miesięcy";"Multiwitaminy,Kwasy omega-3";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Stosuję tylko jeden preparat.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Reklamy,Znajomi/rodzina"
"Nie";"Sporadycznie";">3 lat";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Farmaceuta"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Magnez,Wit z grupy B";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Choroba ";"Farmaceuta,Rzetelne zrodla w internecie "
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z farmaceutą";"Poprawa zdrowia,Zapobieganie niedoborom,Zwiększenie energii,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta"
"Tak";"Sporadycznie";"1–3 lata";"Multiwitaminy";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Reklamy"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Jod, wapń, karnozyna cynkowa";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Głównie sama decyduje, ale częśxiowo też na zalecenie lekarza i dietetyka";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa samopoczucia,Karmię piersią a mam ograniczoną dietę przez alergie i problemy jelitowe";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Farmaceuta"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe"
"Tak";"Kilka razy w miesiącu";">3 lat";"Probiotyki,Kolagen";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk,Farmaceuta"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Magnez,Witamina C,Probiotyki";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji";"Znajomi/rodzina"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji";"Internet (artykuły, blogi)"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Probiotyki,Kreatyna,Białko,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z farmaceutą";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji";"Lekarz,Farmaceuta"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Kwasy omega-3,Białko,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z farmaceutą";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Farmaceuta,Znajomi/rodzina"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Kreatyna,Białko";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Znajomi/rodzina"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina C,Białko,Adaptogeny (np. ashwagandha)";"Często – uważam, że standardowe dawki są zbyt niskie.";"Nie, nie sprawdzam tego.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa koncentracji";"Internet (artykuły, blogi),Znajomi/rodzina"
"Nie";"Sporadycznie";">3 lat";"Witamina D";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Stosuję tylko jeden preparat.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zwiększenie energii";"Internet (artykuły, blogi),Lekarz"
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Witamina D,Magnez";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom";"Lekarz,Dietetyk,Farmaceuta"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności";"Internet (artykuły, blogi),Lekarz,Dietetyk"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki,Kreatyna,Białko";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Farmaceuta"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Dostałam zalecenie od lekarza specjalisty";"Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Farmaceuta"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Kwasy omega-3,Białko,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki,Jod, cynk, Wit B complex, likopen, bromelia, olej z czarnuszki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki,Kreatyna,Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi)"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Adaptogeny (np. ashwagandha)";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi)"
"Tak";"Sporadycznie";"< 3 miesięcy";"Witamina D,Kwasy omega-3";"Często – uważam, że standardowe dawki są zbyt niskie.";"Nie, nie sprawdzam tego.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Zapobieganie niedoborom";"Internet (artykuły, blogi)"
"Tak";"Codziennie";">3 lat";"Witamina D,Witamina C,Kwasy omega-3,Probiotyki";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, specjalista medycyny funkcjonalnej ";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności";"Internet (artykuły, blogi)"
"Tak";"Codziennie";">3 lat";"Witamina D,Żelazo i Merz Spezial ";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe"
"Tak";"Codziennie";">3 lat";"Witamina D,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom";"Lekarz"
"Tak";"Sporadycznie";">3 lat";"Witamina D,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności";"Lekarz,Znajomi/rodzina"
"Nie";"Sporadycznie";">3 lat";"Witamina D,Magnez";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Zapobieganie niedoborom";"Internet (artykuły, blogi)"
"Tak";"Sporadycznie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Farmaceuta,Znajomi/rodzina"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia";"Internet (artykuły, blogi),Farmaceuta"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D,Witamina C,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Wzmocnienie odporności,Poprawa koncentracji";"Lekarz"
"Tak";"Codziennie";">3 lat";"Witamina D,Żelazo, ale jest to zarejestrowane jako lek, nie suplement (Ascofer), oraz ,,Merz Spezial”";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Lekarz"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Witamina C,Kwasy omega-3,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki";"Często – uważam, że standardowe dawki są zbyt niskie.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Znajomi/rodzina"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Maślan sodu, kompleks witamin z grupy B";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii";"Internet (artykuły, blogi),Lekarz,Farmaceuta,Literatura"
